hid,region,hgid,hgroup,code,hospital,lon,lat,Hospital,osm_wid,osmPage,wikiPage,bedCount,road,town,county,country,display_name
39,Midlands,3,Dublin Midlands Hospital Group,41,Tallaght Hospital,-6.37887,53.2911892,http://dbpedia.org/resource/Tallaght_Hospital,51231573,http://www.openstreetmap.org/way/51231573?mlat=53.2911892&mlon=-6.37887#map=16/53.2911892/-6.37887,http://en.wikipedia.org/?curid=16597959,600,Cookstown Way,Tallaght,County Dublin,Republic of Ireland,"Tallaght Hospital, Cookstown Way, Cookstown, Tallaght-Springfield ED, Tallaght, South Dublin, County Dublin, Leinster, Republic of Ireland"
40,South West,5,South/South West Hospital Group,100,University Hospital Waterford,-7.07887,52.2489542,http://dbpedia.org/resource/University_Hospital_Waterford,32152329,http://www.openstreetmap.org/way/32152329?mlat=52.2489542&mlon=-7.07887#map=16/52.2489542/-7.07887,http://en.wikipedia.org/?curid=28690307,545,Nursery Road,,County Waterford,Republic of Ireland,"University Hospital Waterford, Nursery Road, Waterford, County Waterford, Munster, Republic of Ireland"
41,Dublin East,2,Ireland East Hospital Group,103,Wexford General Hospital,-6.48187,52.3431683,NA,353438490,http://www.openstreetmap.org/way/353438490?mlat=52.3431683&mlon=-6.48187#map=16/52.3431683/-6.48187,NA,NA,Newtown Road,Wexford,County Wexford,Republic of Ireland,"Wexford General Hospital, Newtown Road, Wexford, County Wexford, Leinster, Republic of Ireland"
42,Midwest,6,University of Limerick Hospital Group,NA,University Hospital Limerick,-8.6529512,52.6362418,NA,45766917,http://www.openstreetmap.org/way/45766917?mlat=52.6362418&mlon=-8.6529512#map=16/52.6362418/-8.6529512,NA,NA,Carrig Drive,,County Limerick,Republic of Ireland,"University Hospital Limerick, Carrig Drive, Limerick, County Limerick, Munster, Republic of Ireland"
43,Dublin East,NA,NA,23,St. Michael's Dun Laoghaire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,NA,26,"National Rehabilitation Hospital, (NHR), Dun Laoghaire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,NA,NA,NA,27,"St. Joseph's Unit, Harold's Cross",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,NA,NA,NA,28,"Our Lady's Hospice, Harold's Cross, Dublin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,NA,NA,NA,35,"Cherry Orchard Hospital, Ballyfermot",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,NA,NA,NA,38,"Coombe Women's Hospital, Dublin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,NA,NA,39,"Rotunda Hospital, Dublin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,NA,40,"National Maternity Hospital, Holles St, Dublin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,NA,NA,NA,44,"St Joseph Hospital, Raheny",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,NA,NA,NA,47,"Incorporated Orthopaedic Hospital, Clontarf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,NA,NA,NA,48,Blackrock Hospice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,NA,NA,NA,90,St Luke's Centre at St James,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,NA,NA,NA,91,St Luke's Centre at Beaumont,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,NA,NA,NA,200,"St. Finbarr's Hospital, Cork",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,NA,208,"St. Mary's Orthopaedic Hospital, Gurrenabraher",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,NA,NA,NA,302,Midwestern Regional Maternity Hospital Limerick,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,NA,NA,NA,303,"Midwestern Regional Hospital, Dooradoyle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,NA,NA,NA,406,Ballina District Hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,NA,NA,NA,704,Monaghan General Hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
420,NA,NA,NA,9,"Peamount Hospital, Newcastle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
430,NA,NA,NA,15,"St. Luke's & St. Anne's Hospital, Dublin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
